Atomic Li wave function in real space
Atomic number
  3
Total number of orbitals
 15
The [2S] state electronic configuration
Number of up, downspin electrons, determinants 
  2  1   252
    0.877916703062858E-06
    0.893056298785538E-06
    0.908399107527428E-06
    0.923947856939379E-06
    0.939705311284462E-06
    0.955674271929394E-06
    0.971857577842570E-06
    0.988258106098777E-06
    0.100487877239068E-05
    0.102172253154716E-05
    0.103879237805867E-05
    0.105609134660953E-05
    0.107362251261751E-05
    0.109138899278049E-05
    0.110939394563065E-05
    0.112764057209590E-05
    0.114613211606901E-05
    0.116487186498428E-05
    0.118386315040198E-05
    0.120310934860065E-05
    0.122261388117732E-05
    0.124238021565582E-05
    0.126241186610323E-05
    0.128271239375462E-05
    0.130328540764614E-05
    0.132413456525666E-05
    0.134526357315801E-05
    0.136667618767392E-05
    0.138837621554778E-05
    0.141036751461951E-05
    0.143265399451129E-05
    0.145523961732269E-05
    0.147812839833502E-05
    0.150132440672521E-05
    0.152483176628916E-05
    0.154865465617493E-05
    0.157279731162569E-05
    0.159726402473266E-05
    0.162205914519817E-05
    0.164718708110894E-05
    0.167265229971975E-05
    0.169845932824765E-05
    0.172461275467679E-05
    0.175111722857409E-05
    0.177797746191581E-05
    0.180519822992531E-05
    0.183278437192192E-05
    0.186074079218131E-05
    0.188907246080739E-05
    0.191778441461586E-05
    0.194688175802969E-05
    0.197636966398656E-05
    0.200625337485853E-05
    0.203653820338401E-05
    0.206722953361230E-05
    0.209833282186069E-05
    0.212985359768459E-05
    0.216179746486048E-05
    0.219417010238222E-05
    0.222697726547064E-05
    0.226022478659668E-05
    0.229391857651833E-05
    0.232806462533144E-05
    0.236266900353461E-05
    0.239773786310844E-05
    0.243327743860922E-05
    0.246929404827731E-05
    0.250579409516040E-05
    0.254278406825183E-05
    0.258027054364426E-05
    0.261826018569870E-05
    0.265675974822936E-05
    0.269577607570430E-05
    0.273531610446227E-05
    0.277538686394587E-05
    0.281599547795120E-05
    0.285714916589438E-05
    0.289885524409498E-05
    0.294112112707675E-05
    0.298395432888576E-05
    0.302736246442626E-05
    0.307135325081444E-05
    0.311593450875042E-05
    0.316111416390857E-05
    0.320690024834659E-05
    0.325330090193340E-05
    0.330032437379630E-05
    0.334797902378747E-05
    0.339627332397019E-05
    0.344521586012503E-05
    0.349481533327621E-05
    0.354508056123847E-05
    0.359602048018473E-05
    0.364764414623474E-05
    0.369996073706509E-05
    0.375297955354085E-05
    0.380671002136901E-05
    0.386116169277426E-05
