Atomic Li wave function in real space
Atomic number
  3
Total number of orbitals
 15
The [2S] state electronic configuration
Number of up, downspin electrons, determinants 
  2  1   252
    0.108636590132601E-08
    0.111709103375733E-08
    0.114866569320308E-08
    0.118111309560181E-08
    0.121445708775717E-08
    0.124872216443328E-08
    0.128393348591270E-08
    0.132011689602955E-08
    0.135729894069058E-08
    0.139550688689742E-08
    0.143476874228357E-08
    0.147511327517999E-08
    0.151657003522367E-08
    0.155916937452380E-08
    0.160294246940059E-08
    0.164792134271236E-08
    0.169413888678666E-08
    0.174162888697178E-08
    0.179042604582553E-08
    0.184056600795839E-08
    0.189208538554878E-08
    0.194502178454867E-08
    0.199941383159809E-08
    0.205530120166779E-08
    0.211272464644972E-08
    0.217172602351551E-08
    0.223234832626382E-08
    0.229463571467773E-08
    0.235863354691419E-08
    0.242438841174804E-08
    0.249194816189356E-08
    0.256136194822749E-08
    0.263268025493767E-08
    0.270595493562253E-08
    0.278123925036692E-08
    0.285858790382095E-08
    0.293805708430864E-08
    0.301970450399452E-08
    0.310358944013653E-08
    0.318977277745482E-08
    0.327831705164639E-08
    0.336928649407675E-08
    0.346274707768025E-08
    0.355876656410191E-08
    0.365741455211422E-08
    0.375876252734329E-08
    0.386288391334007E-08
    0.396985412403254E-08
    0.407975061759664E-08
    0.419265295178397E-08
    0.430864284074588E-08
    0.442780421339416E-08
    0.455022327334015E-08
    0.467598856045470E-08
    0.480519101409286E-08
    0.493792403802841E-08
    0.507428356714434E-08
    0.521436813592672E-08
    0.535827894881086E-08
    0.550611995242961E-08
    0.565799790981550E-08
    0.581402247660919E-08
    0.597430627932885E-08
    0.613896499575580E-08
    0.630811743749388E-08
    0.648188563476126E-08
    0.666039492347489E-08
    0.684377403468976E-08
    0.703215518645644E-08
    0.722567417816243E-08
    0.742447048742437E-08
    0.762868736960002E-08
    0.783847195999088E-08
    0.805397537880827E-08
    0.827535283897730E-08
    0.850276375685570E-08
    0.873637186594624E-08
    0.897634533368344E-08
    0.922285688137804E-08
    0.947608390740420E-08
    0.973620861371735E-08
    0.100034181357926E-07
    0.102779046760761E-07
    0.105598656410445E-07
    0.108495037819698E-07
    0.111470273394898E-07
    0.114526501920873E-07
    0.117665920085830E-07
    0.120890784047517E-07
    0.124203411041714E-07
    0.127606181034226E-07
    0.131101538417518E-07
    0.134691993753229E-07
    0.138380125561791E-07
    0.142168582160422E-07
    0.146060083550815E-07
    0.150057423357850E-07
    0.154163470820721E-07
    0.158381172837882E-07
    0.162713556067286E-07
    0.167163729083384E-07
    0.171734884592440E-07
    0.176430301707736E-07
    0.181253348286270E-07
    0.186207483328625E-07
    0.191296259443713E-07
    0.196523325380136E-07
    0.201892428625985E-07
    0.207407418078901E-07
    0.213072246788323E-07
    0.218890974771854E-07
    0.224867771907755E-07
    0.231006920905629E-07
    0.237312820357401E-07
    0.243789987870762E-07
    0.250443063287317E-07
    0.257276811987719E-07
    0.264296128286130E-07
    0.271506038916446E-07
    0.278911706612740E-07
    0.286518433786490E-07
    0.294331666303193E-07
    0.302356997361064E-07
    0.310600171474558E-07
    0.319067088565577E-07
    0.327763808165242E-07
    0.336696553729240E-07
    0.345871717069800E-07
    0.355295862907461E-07
    0.364975733545862E-07
    0.374918253672877E-07
    0.385130535291522E-07
    0.395619882784117E-07
    0.406393798113327E-07
    0.417459986163772E-07
    0.428826360227997E-07
    0.440501047640715E-07
    0.452492395565320E-07
    0.464808976936789E-07
    0.477459596565206E-07
    0.490453297404221E-07
    0.503799366988938E-07
    0.517507344047787E-07
    0.531587025293078E-07
    0.546048472395075E-07
    0.560902019144561E-07
    0.576158278808944E-07
    0.591828151687189E-07
    0.607922832868902E-07
    0.624453820203109E-07
    0.641432922482381E-07
    0.658872267848143E-07
    0.676784312423107E-07
    0.695181849177010E-07
    0.714078017031924E-07
    0.733486310213636E-07
    0.753420587855719E-07
    0.773895083863164E-07
    0.794924417042528E-07
    0.816523601505860E-07
    0.838708057355743E-07
    0.861493621659096E-07
    0.884896559717516E-07
    0.908933576642154E-07
    0.933621829241390E-07
    0.958978938229736E-07
    0.985023000766630E-07
    0.101177260333407E-06
    0.103924683496224E-06
    0.106746530081242E-06
    0.109644813612710E-06
    0.112621602055682E-06
    0.115679019287433E-06
    0.118819246608625E-06
    0.122044524295303E-06
    0.125357153192832E-06
    0.128759496352905E-06
    0.132253980714773E-06
    0.135843098831913E-06
    0.139529410645342E-06
    0.143315545304852E-06
    0.147204203039448E-06
    0.151198157078327E-06
    0.155300255623762E-06
    0.159513423877287E-06
    0.163840666120626E-06
    0.168285067852858E-06
    0.172849797985303E-06
    0.177538111095735E-06
    0.182353349743480E-06
    0.187298946847070E-06
    0.192378428126141E-06
    0.197595414609294E-06
    0.202953625209721E-06
    0.208456879370415E-06
    0.214109099780839E-06
    0.219914315167003E-06
    0.225876663156905E-06
    0.232000393223398E-06
    0.238289869706554E-06
    0.244749574917686E-06
    0.251384112327221E-06
    0.258198209838701E-06
    0.265196723151231E-06
    0.272384639212761E-06
    0.279767079766664E-06
    0.287349304994116E-06
    0.295136717254884E-06
    0.303134864929156E-06
    0.311349446363166E-06
    0.319786313921402E-06
    0.328451478148272E-06
    0.337351112042205E-06
    0.346491555445198E-06
    0.355879319550941E-06
    0.365521091534720E-06
    0.375423739308387E-06
    0.385594316403770E-06
    0.396040066987995E-06
    0.406768431014281E-06
    0.417787049511868E-06
    0.429103770018833E-06
    0.440726652161647E-06
    0.452663973385455E-06
    0.464924234839115E-06
    0.477516167419208E-06
    0.490448737977301E-06
    0.503731155694848E-06
    0.517372878630296E-06
    0.531383620443018E-06
    0.545773357298840E-06
    0.560552334962099E-06
    0.575731076079236E-06
    0.591320387659104E-06
    0.607331368755310E-06
    0.623775418356041E-06
    0.640664243486966E-06
    0.658009867532985E-06
    0.675824638784714E-06
    0.694121239215779E-06
    0.712912693497172E-06
    0.732212378255017E-06
    0.752034031578375E-06
    0.772391762783803E-06
    0.793300062443596E-06
    0.814773812684852E-06
    0.836828297766654E-06
    0.859479214942872E-06
    0.882742685618310E-06
    0.906635266806110E-06
    0.931173962894529E-06
    0.956376237731462E-06
    0.982260027035279E-06
    0.100884375114077E-05
    0.103614632808925E-05
    0.106418718707216E-05
    0.109298628223756E-05
    0.112256410686953E-05
    0.115294170795032E-05
    0.118414070111575E-05
    0.121618328601431E-05
    0.124909226208105E-05
    0.128289104473727E-05
    0.131760368202758E-05
    0.135325487170618E-05
    0.138986997878438E-05
    0.142747505355186E-05
    0.146609685008445E-05
    0.150576284525156E-05
    0.154650125823674E-05
    0.158834107058517E-05
    0.163131204679238E-05
    0.167544475544872E-05
    0.172077059095461E-05
    0.176732179582201E-05
    0.181513148357781E-05
    0.186423366228547E-05
    0.191466325870163E-05
    0.196645614308463E-05
    0.201964915467275E-05
    0.207428012785009E-05
    0.213038791901864E-05
    0.218801243419571E-05
    0.224719465735610E-05
    0.230797667953928E-05
    0.237040172874205E-05
    0.243451420061799E-05
    0.250035969000535E-05
    0.256798502330586E-05
    0.263743829173720E-05
    0.270876888548292E-05
    0.278202752876380E-05
    0.285726631585568E-05
    0.293453874807913E-05
    0.301389977178720E-05
    0.309540581737827E-05
    0.317911483936147E-05
    0.326508635750309E-05
    0.335338149908329E-05
    0.344406304229277E-05
    0.353719546080025E-05
    0.363284496952251E-05
    0.373107957162896E-05
    0.383196910681446E-05
    0.393558530087438E-05
    0.404200181661685E-05
    0.415129430614858E-05
    0.426354046457094E-05
    0.437882008512447E-05
    0.449721511582085E-05
    0.461880971760232E-05
    0.474369032406979E-05
    0.487194570282184E-05
    0.500366701844812E-05
    0.513894789722149E-05
    0.527788449353497E-05
    0.542057555813026E-05
    0.556712250816616E-05
    0.571762949917648E-05
    0.587220349896836E-05
    0.603095436351304E-05
    0.619399491488311E-05
    0.636144102129099E-05
    0.653341167928542E-05
    0.671002909816408E-05
    0.689141878666182E-05
    0.707770964197603E-05
    0.726903404119186E-05
    0.746552793517195E-05
    0.766733094497711E-05
    0.787458646088594E-05
    0.808744174408338E-05
    0.830604803109010E-05
    0.853056064100639E-05
    0.876113908564628E-05
    0.899794718263978E-05
    0.924115317158308E-05
    0.949092983331846E-05
    0.974745461242849E-05
    0.100109097430308E-04
    0.102814823779623E-04
    0.105593647214432E-04
    0.108447541653167E-04
    0.111378534289571E-04
    0.114388707029483E-04
    0.117480197966319E-04
    0.120655202896296E-04
    0.123915976874473E-04
    0.127264835812696E-04
    0.130704158120580E-04
    0.134236386390685E-04
    0.137864029129073E-04
    0.141589662532458E-04
    0.145415932313215E-04
    0.149345555573523E-04
    0.153381322729965E-04
    0.157526099489945E-04
    0.161782828881300E-04
    0.166154533336558E-04
    0.170644316833287E-04
    0.175255367092057E-04
    0.179990957833550E-04
    0.184854451096420E-04
    0.189849299617517E-04
    0.194979049276164E-04
    0.200247341604195E-04
    0.205657916363526E-04
    0.211214614193067E-04
    0.216921379326837E-04
    0.222782262385188E-04
    0.228801423241109E-04
    0.234983133963610E-04
    0.241331781840268E-04
    0.247851872481035E-04
    0.254548033005518E-04
    0.261425015315934E-04
    0.268487699458068E-04
    0.275741097072568E-04
    0.283190354939008E-04
    0.290840758615204E-04
    0.298697736174331E-04
    0.306766862042466E-04
    0.315053860939237E-04
    0.323564611924347E-04
    0.332305152552808E-04
    0.341281683141772E-04
    0.350500571151988E-04
    0.359968355686910E-04
    0.369691752112623E-04
    0.379677656801825E-04
    0.389933152005156E-04
    0.400465510853309E-04
    0.411282202493402E-04
    0.422390897363203E-04
    0.433799472606882E-04
    0.445516017636101E-04
    0.457548839840277E-04
    0.469906470450047E-04
    0.482597670557997E-04
    0.495631437300869E-04
    0.509017010207535E-04
    0.522763877717198E-04
    0.536881783872307E-04
    0.551380735190904E-04
    0.566271007723143E-04
    0.581563154296915E-04
    0.597268011957608E-04
    0.613396709607191E-04
    0.629960675847892E-04
    0.646971647035975E-04
    0.664441675551172E-04
    0.682383138287512E-04
    0.700808745371463E-04
    0.719731549113412E-04
    0.739164953198690E-04
    0.759122722124536E-04
    0.779618990889511E-04
    0.800668274942080E-04
    0.822285480395272E-04
    0.844485914514431E-04
    0.867285296485373E-04
    0.890699768470356E-04
    0.914745906959507E-04
    0.939440734425548E-04
    0.964801731289886E-04
    0.990846848208273E-04
    0.101759451868456E-03
    0.104506367202123E-03
    0.107327374661559E-03
    0.110224470361083E-03
    0.113199704091135E-03
    0.116255180757188E-03
    0.119393061857049E-03
    0.122615566997547E-03
    0.125924975451651E-03
    0.129323627757099E-03
    0.132813927357625E-03
    0.136398342287906E-03
    0.140079406903394E-03
    0.143859723656214E-03
    0.147741964918336E-03
    0.151728874853281E-03
    0.155823271337626E-03
    0.160028047933643E-03
    0.164346175914390E-03
    0.168780706342659E-03
    0.173334772205194E-03
    0.178011590603625E-03
    0.182814465003622E-03
    0.187746787543790E-03
    0.192812041405882E-03
    0.198013803247950E-03
    0.203355745702058E-03
    0.208841639938296E-03
    0.214475358296790E-03
    0.220260876989529E-03
    0.226202278873821E-03
    0.232303756299255E-03
    0.238569614030111E-03
    0.245004272245174E-03
    0.251612269616991E-03
    0.258398266472651E-03
    0.265367048038212E-03
    0.272523527768969E-03
    0.279872750767803E-03
    0.287419897293911E-03
    0.295170286364278E-03
    0.303129379450302E-03
    0.311302784272073E-03
    0.319696258692824E-03
    0.328315714716183E-03
    0.337167222588881E-03
    0.346257015011688E-03
    0.355591491461349E-03
    0.365177222626438E-03
    0.375020954960057E-03
    0.385129615352436E-03
    0.395510315926502E-03
    0.406170358959630E-03
    0.417117241934822E-03
    0.428358662724656E-03
    0.439902524911425E-03
    0.451756943246982E-03
    0.463930249255863E-03
    0.476430996985395E-03
    0.489267968906536E-03
    0.502450181969312E-03
    0.515986893816803E-03
    0.529887609161728E-03
    0.544162086329750E-03
    0.558820343973771E-03
    0.573872667963514E-03
    0.589329618454867E-03
    0.605202037143493E-03
    0.621501054707382E-03
    0.638238098443044E-03
    0.655424900100248E-03
    0.673073503920234E-03
    0.691196274882468E-03
    0.709805907165141E-03
    0.728915432824665E-03
    0.748538230699616E-03
    0.768688035544608E-03
    0.789378947399749E-03
    0.810625441201421E-03
    0.832442376640288E-03
    0.854845008272465E-03
    0.877848995890035E-03
    0.901470415157118E-03
    0.925725768517875E-03
    0.950631996382948E-03
    0.976206488601014E-03
    0.100246709622217E-02
    0.102943214356015E-02
    0.105712044056046E-02
    0.108555129548160E-02
    0.111474452789696E-02
    0.114472048202480E-02
    0.117550004039432E-02
    0.120710463785577E-02
    0.123955627594284E-02
    0.127287753759602E-02
    0.130709160225562E-02
    0.134222226133372E-02
    0.137829393407468E-02
    0.141533168381405E-02
    0.145336123464658E-02
    0.149240898851423E-02
    0.153250204272605E-02
    0.157366820792233E-02
    0.161593602649639E-02
    0.165933479148852E-02
    0.170389456596748E-02
    0.174964620291654E-02
    0.179662136564279E-02
    0.184485254872982E-02
    0.189437309955652E-02
    0.194521724040712E-02
    0.199742009200450E-02
    0.205101769881056E-02
    0.210604704300417E-02
    0.216254607725199E-02
    0.222055374693958E-02
    0.228011001566537E-02
    0.234125589056685E-02
    0.240403344873089E-02
    0.246848586485525E-02
    0.253465743881455E-02
    0.260259362430777E-02
    0.267234105738249E-02
    0.274394758674373E-02
    0.281746230430490E-02
    0.289293557640369E-02
    0.297041907567060E-02
    0.304996581505470E-02
    0.313163018017865E-02
    0.321546796408742E-02
    0.330153640241251E-02
    0.338989420938512E-02
    0.348060161466972E-02
    0.357372040099064E-02
    0.366931394266777E-02
    0.376744724508182E-02
    0.386818698476414E-02
    0.397160155072954E-02
    0.407776108661779E-02
    0.418673753374368E-02
    0.429860467512792E-02
    0.441343818049196E-02
    0.453131565226000E-02
    0.465231667255701E-02
    0.477652285127602E-02
    0.490401787507227E-02
    0.503488755738149E-02
    0.516921988981022E-02
    0.530710509436729E-02
    0.544863567674030E-02
    0.559390648117502E-02
    0.574301474593032E-02
    0.589606015999356E-02
    0.605314492107814E-02
    0.621437379479176E-02
    0.637985417474679E-02
    0.654969614423061E-02
    0.672401253885886E-02
    0.690291901053381E-02
    0.708653409256148E-02
    0.727497926590850E-02
    0.746837902706241E-02
    0.766686095688457E-02
    0.787055579074152E-02
    0.807959749012586E-02
    0.829412331533589E-02
    0.851427389943384E-02
    0.874019332357921E-02
    0.897202919359861E-02
    0.920993271789491E-02
    0.945405878655013E-02
    0.970456605175088E-02
    0.996161700947959E-02
    0.102253780824527E-01
    0.104960197042553E-01
    0.107737164048341E-01
    0.110586468971204E-01
    0.113509941648740E-01
    0.116509455517141E-01
    0.119586928512986E-01
    0.122744323986278E-01
    0.125983651624490E-01
    0.129306968387168E-01
    0.132716379450916E-01
    0.136214039163945E-01
    0.139802152010053E-01
    0.143482973581392E-01
    0.147258811559455E-01
    0.151132026703616E-01
    0.155105033846691E-01
    0.159180302896625E-01
    0.163360359843590E-01
    0.167647787771603E-01
    0.172045227873752E-01
    0.176555380470021E-01
    0.181181006026626E-01
    0.185924926175718E-01
    0.190790024734180E-01
    0.195779248720229E-01
    0.200895609366355E-01
    0.206142183127095E-01
    0.211522112680001E-01
    0.217038607918066E-01
    0.222694946931766E-01
    0.228494476978736E-01
    0.234440615438979E-01
    0.240536850753382E-01
    0.246786743343167E-01
    0.253193926507778E-01
    0.259762107298513E-01
    0.266495067365093E-01
    0.273396663772163E-01
    0.280470829782572E-01
    0.287721575604069E-01
    0.295152989095886E-01
    0.302769236431459E-01
    0.310574562713338E-01
    0.318573292536145E-01
    0.326769830493150E-01
    0.335168661621877E-01
    0.343774351783829E-01
    0.352591547973234E-01
    0.361624978549387E-01
    0.370879453386942E-01
    0.380359863938148E-01
    0.390071183200802E-01
    0.400018465585327E-01
    0.410206846674064E-01
    0.420641542865560E-01
    0.431327850896240E-01
    0.442271147231526E-01
    0.453476887318088E-01
    0.464950604688500E-01
    0.476697909909192E-01
    0.488724489362189E-01
    0.501036103850647E-01
    0.513638587017834E-01
    0.526537843568682E-01
    0.539739847282583E-01
    0.553250638805656E-01
    0.567076323210160E-01
    0.581223067308265E-01
    0.595697096706846E-01
    0.610504692589449E-01
    0.625652188210991E-01
    0.641145965090266E-01
    0.656992448884689E-01
    0.673198104931143E-01
    0.689769433436244E-01
    0.706712964298692E-01
    0.724035251545762E-01
    0.741742867365412E-01
    0.759842395714827E-01
    0.778340425485571E-01
    0.797243543204949E-01
    0.816558325252494E-01
    0.836291329569850E-01
    0.856449086841746E-01
    0.877038091125017E-01
    0.898064789902178E-01
    0.919535573535270E-01
    0.941456764095180E-01
    0.963834603541047E-01
    0.986675241223736E-01
    0.100998472068701E+00
    0.103376896573921E+00
    0.105803376576806E+00
    0.108278476027043E+00
    0.110802742256893E+00
    0.113376704268651E+00
    0.116000870934989E+00
    0.118675729109276E+00
    0.121401741642874E+00
    0.124179345306532E+00
    0.127008948612856E+00
    0.129890929536903E+00
    0.132825633131979E+00
    0.135813369037647E+00
    0.138854408877234E+00
    0.141948983541844E+00
    0.145097280358198E+00
    0.148299440137545E+00
    0.151555554103102E+00
    0.154865660693668E+00
    0.158229742240836E+00
    0.161647721517839E+00
    0.165119458157617E+00
    0.168644744938922E+00
    0.172223303938385E+00
    0.175854782547314E+00
    0.179538749352287E+00
    0.183274689878041E+00
    0.187062002193855E+00
    0.190899992381724E+00
    0.194787869867622E+00
    0.198724742616026E+00
    0.202709612189264E+00
    0.206741368674439E+00
    0.210818785478775E+00
    0.214940513997700E+00
    0.219105078157163E+00
    0.223310868838060E+00
    0.227556138185691E+00
    0.231838993810242E+00
    0.236157392886802E+00
    0.240509136156994E+00
    0.244891861852485E+00
    0.249303039539167E+00
    0.253739963898880E+00
    0.258199748457991E+00
    0.262679319275859E+00
    0.267175408616194E+00
    0.271684548606354E+00
    0.276203064910570E+00
    0.280727070425081E+00
    0.285252459032180E+00
    0.289774899427675E+00
    0.294289829042701E+00
    0.298792448096079E+00
    0.303277713775791E+00
    0.307740334636156E+00
    0.312174765189967E+00
    0.316575200755186E+00
    0.320935572583470E+00
    0.325249543296861E+00
    0.329510502726366E+00
    0.333711564131259E+00
    0.337845560887110E+00
    0.341905043643372E+00
    0.345882278059474E+00
    0.349769243155534E+00
    0.353557630301597E+00
    0.357238842951599E+00
    0.360803997062773E+00
    0.364243922480749E+00
    0.367549165160732E+00
    0.370709990372115E+00
    0.373716386942075E+00
    0.376558072521006E+00
    0.379224500199514E+00
    0.381704866261393E+00
    0.383988119322028E+00
    0.386062970776155E+00
    0.387917906787331E+00
    0.389541201912466E+00
    0.390920934271832E+00
    0.392045002527004E+00
    0.392901144381054E+00
    0.393476957308325E+00
    0.393759921065554E+00
    0.393737422230694E+00
    0.393396780874855E+00
    0.392725279068528E+00
    0.391710192168912E+00
    0.390338822012477E+00
    0.388598532586578E+00
    0.386476787885386E+00
    0.383961192236872E+00
    0.381039533360546E+00
    0.377699827623972E+00
    0.373930367987553E+00
    0.369719773928250E+00
    0.365057044481166E+00
    0.359931613512721E+00
    0.354333407364464E+00
    0.348252905014126E+00
    0.341681199902875E+00
    0.334610064996802E+00
    0.327032019305098E+00
    0.318940396585327E+00
    0.310329415727518E+00
    0.301194252757990E+00
    0.291531114709007E+00
    0.281337314403464E+00
    0.270611346367494E+00
    0.259352963342968E+00
    0.247563253390652E+00
    0.235244717069012E+00
    0.222401344329905E+00
    0.209038690630076E+00
    0.195163952732793E+00
    0.180786041899557E+00
    0.165915655807603E+00
    0.150565347643597E+00
    0.134749592627216E+00
    0.118484851567455E+00
    0.101789628249997E+00
    0.846845236446365E-01
    0.671922834386278E-01
    0.493378428995891E-01
    0.311483616052253E-01
    0.126532507915948E-01
   -0.611580591661721E-02
   -0.251248436701054E-01
   -0.443376057395349E-01
   -0.637155594086382E-01
   -0.832179131768107E-01
   -0.102801648477767E+00
   -0.122421561799172E+00
   -0.142030311273640E+00
   -0.161578496557605E+00
   -0.181014738120818E+00
   -0.200285779384604E+00
   -0.219336585872094E+00
   -0.238110474677154E+00
   -0.256549265229594E+00
   -0.274593434071054E+00
   -0.292182301273065E+00
   -0.309254180958380E+00
   -0.325746619742153E+00
   -0.341596612781556E+00
   -0.356740842957067E+00
   -0.371115935560037E+00
   -0.384658679787322E+00
   -0.397306357922275E+00
   -0.408997022370110E+00
   -0.419669814042917E+00
   -0.429265243127970E+00
   -0.437725509008974E+00
   -0.444994865772028E+00
   -0.451019947645016E+00
   -0.455750140165028E+00
   -0.459137839603944E+00
   -0.461138865691191E+00
   -0.461712804279927E+00
   -0.460823349589068E+00
   -0.458438656616019E+00
   -0.454531586074324E+00
   -0.449080114110494E+00
   -0.442067613902484E+00
   -0.433483159206620E+00
   -0.423321778069674E+00
   -0.411584695146863E+00
   -0.398279597903647E+00
   -0.383420832187989E+00
   -0.367029580324771E+00
   -0.349134017493726E+00
   -0.329769425455211E+00
   -0.308978275740975E+00
   -0.286810274432703E+00
   -0.263322339497462E+00
   -0.238578704688549E+00
   -0.212650714169257E+00
   -0.185616745935101E+00
   -0.157562012098323E+00
   -0.128578425381235E+00
   -0.987644523703595E-01
   -0.682246407840100E-01
   -0.370693421840460E-01
   -0.541420677526314E-02
    0.266198902926509E-01
    0.589075097730588E-01
    0.913192320834211E-01
    0.123722159299977E+00
    0.155980730100002E+00
    0.187956559125030E+00
    0.219509830823955E+00
    0.250499775976756E+00
    0.280785476627344E+00
    0.310226488442301E+00
    0.338683201337869E+00
    0.366018160152648E+00
    0.392096657988317E+00
    0.416787707649408E+00
    0.439964290599160E+00
    0.461504333636562E+00
    0.481291674311789E+00
    0.499216700555756E+00
    0.515177325585211E+00
    0.529078857281884E+00
    0.540835400444689E+00
    0.550370312491326E+00
    0.557616822985531E+00
    0.562518555893867E+00
    0.565029723487175E+00
    0.565115927913161E+00
    0.562754422457666E+00
    0.557934428957867E+00
    0.550657374330670E+00
    0.540937068745572E+00
    0.528799816750785E+00
    0.514284447301752E+00
    0.497442086584265E+00
    0.478336632230583E+00
    0.457044064943608E+00
    0.433652254861270E+00
    0.408260546888205E+00
    0.380979266346524E+00
    0.351930178576805E+00
    0.321244838541090E+00
    0.289064277240620E+00
    0.255537951953801E+00
    0.220823779875293E+00
    0.185087407410797E+00
    0.148500534432752E+00
    0.111240294529542E+00
    0.734876073820477E-01
    0.354282733514589E-01
   -0.274965025350321E-02
   -0.408568234838944E-01
   -0.787036871928304E-01
   -0.116101926883974E+00
   -0.152863384670755E+00
   -0.188803445977835E+00
   -0.223741454055094E+00
   -0.257502142486480E+00
   -0.289915941568628E+00
   -0.320819549765847E+00
   -0.350058051334359E+00
   -0.377485427433243E+00
   -0.402965884837293E+00
   -0.426373283411920E+00
   -0.447592783403270E+00
   -0.466521603417964E+00
   -0.483069493227497E+00
   -0.497159444918556E+00
   -0.508727245853881E+00
   -0.517722657641756E+00
   -0.524109404480058E+00
   -0.527865280899609E+00
   -0.528982249257489E+00
   -0.527466463701544E+00
   -0.523337971175694E+00
   -0.516630511660637E+00
   -0.507390817928312E+00
   -0.495679214282111E+00
   -0.481568533648507E+00
   -0.465143298610417E+00
   -0.446499178906601E+00
   -0.425741365032263E+00
   -0.402986757767268E+00
   -0.378360250628287E+00
   -0.351994597581035E+00
   -0.324029029150014E+00
   -0.294608719441518E+00
   -0.263885438187912E+00
   -0.232014083367753E+00
   -0.199152397368864E+00
   -0.165458997551699E+00
   -0.131094791448705E+00
   -0.962209792186721E-01
   -0.609970843315717E-01
   -0.255804670951449E-01
    0.987589206230873E-02
    0.452200704024997E-01
    0.803057903589381E-01
    0.114992316344986E+00
    0.149145384808754E+00
    0.182637733309070E+00
    0.215347821110042E+00
    0.247162631795110E+00
    0.277977382136345E+00
    0.307696198830320E+00
    0.336231563848543E+00
    0.363504655965554E+00
    0.389445991969235E+00
    0.413995246629343E+00
    0.437101183017179E+00
    0.458721710684813E+00
    0.478823600804638E+00
    0.497382288771571E+00
    0.514381480636933E+00
    0.529812730287504E+00
    0.543676469113707E+00
    0.555980023157013E+00
    0.566737646882038E+00
    0.575969478467008E+00
    0.583702386606665E+00
    0.589969619329015E+00
    0.594808950909999E+00
    0.598262667802373E+00
    0.600375925177458E+00
    0.601199677164254E+00
    0.600787551011228E+00
    0.599195485018510E+00
    0.596481277654076E+00
    0.592703544727385E+00
    0.587924588259580E+00
    0.582206470881142E+00
    0.575611622643182E+00
    0.568201957404851E+00
    0.560039504595845E+00
    0.551186666874328E+00
    0.541704362890345E+00
    0.531652304985530E+00
    0.521088220442673E+00
    0.510069215115480E+00
    0.498650540122800E+00
    0.486885323262766E+00
    0.474824569472957E+00
    0.462516864626813E+00
    0.450009059151707E+00
    0.437345444468076E+00
    0.424567929095782E+00
    0.411716055955833E+00
    0.398826925953091E+00
    0.385935107279618E+00
    0.373072850470915E+00
    0.360270068169919E+00
    0.347554658321276E+00
    0.334951795495641E+00
    0.322484426819106E+00
    0.310173516014073E+00
    0.298038027861814E+00
    0.286095531307828E+00
    0.274360549068464E+00
    0.262846311050909E+00
    0.251564395740410E+00
    0.240525028581956E+00
    0.229736968590797E+00
    0.219206831505847E+00
    0.208940316095067E+00
    0.198941946981961E+00
    0.189215523214656E+00
    0.179763275491280E+00
    0.170586328177865E+00
    0.161685156588081E+00
    0.153059487895355E+00
    0.144708805988842E+00
    0.136631047231917E+00
    0.128823908350510E+00
    0.121284628014453E+00
    0.114010119649141E+00
    0.106996997774567E+00
    0.100241060925863E+00
    0.937380599941242E-01
    0.874835256822302E-01
    0.814729380336977E-01
    0.757014560275668E-01
    0.701640116637550E-01
    0.648555421147562E-01
    0.597709347130593E-01
    0.549051517408579E-01
    0.502529434878413E-01
    0.458091264031194E-01
    0.415685593906083E-01
    0.375261537506617E-01
    0.336768911515291E-01
    0.300157686571566E-01
    0.265378802572596E-01
    0.232384006625177E-01
    0.201125771484142E-01
    0.171557608281171E-01
    0.143634103992467E-01
    0.117310619368679E-01
    0.925433746832260E-02
    0.692889298942982E-02
    0.475056310285696E-02
    0.271524203853137E-02
    0.818883015428486E-03
   -0.942510199285137E-03
   -0.257292447310525E-02
   -0.407615187857229E-02
   -0.545600261759312E-02
   -0.671625488415254E-02
   -0.786070342751344E-02
   -0.889309015173496E-02
   -0.981706657112468E-02
   -0.106363260505331E-01
   -0.113545683272725E-01
   -0.119755732277895E-01
   -0.125030112436908E-01
   -0.129405798888866E-01
   -0.132920226278935E-01
   -0.135611198722137E-01
   -0.137517480919905E-01
   -0.138676497090343E-01
   -0.139126646915622E-01
   -0.138906650638356E-01
   -0.138055823287992E-01
   -0.136613593746136E-01
   -0.134618797969896E-01
   -0.132110838061690E-01
   -0.129129225107710E-01
   -0.125713934954350E-01
   -0.121904137394737E-01
   -0.117738763265282E-01
   -0.113256660892882E-01
   -0.108496331752211E-01
   -0.103496271796025E-01
   -0.982933277806031E-02
   -0.929240290839316E-02
   -0.874240646487979E-02
   -0.818282846636435E-02
   -0.761704492840129E-02
   -0.704826336791440E-02
   -0.647958032264397E-02
   -0.591394859796639E-02
   -0.535418406744440E-02
   -0.480291107276046E-02
   -0.426257178642497E-02
   -0.373543653935542E-02
   -0.322358865353259E-02
   -0.272893817774050E-02
   -0.225315700926166E-02
   -0.179773123417514E-02
   -0.136394747806242E-02
   -0.952897290745002E-03
   -0.565477231128324E-03
   -0.202361128417348E-03
    0.135956221546532E-03
    0.449164933496412E-03
    0.737120751919906E-03
    0.999866410856706E-03
    0.123761645052364E-02
    0.145072744858338E-02
    0.163969477163760E-02
    0.180511790116409E-02
    0.194775967128218E-02
    0.206847338167864E-02
    0.216819892943715E-02
    0.224794598301278E-02
    0.230877564002307E-02
    0.235185070888181E-02
    0.237835057225980E-02
    0.238947999969250E-02
    0.238644081940884E-02
    0.237045717021499E-02
    0.234276889785195E-02
    0.230458458905142E-02
    0.225708639390160E-02
